file,scene,feature,mode,slope,p_value,direction,n_pairs,slope_rand_mean,slope_rand_std
neutral_S02,neutral,intensity_std,sym,0.0004571251206291,0.203,none,39,0.0014690991763499,0.0012645316965867
neutral_S02,neutral,intensity_std,h2a,-0.0008575312152816,0.068,none,19,0.0017460042641157,0.0016495966381566
neutral_S02,neutral,intensity_std,a2h,0.002355792122819,0.963,divergence,20,0.0003927929587768,0.0010667181535738
neutral_S02,neutral,speech_rate,sym,9.284770263391776e-05,0.74,none,39,-0.0002780466756818,0.0005711779935041
neutral_S02,neutral,speech_rate,h2a,-0.0003027194985135,0.622,none,19,-0.0005635481547717,0.0008235859099279
neutral_S02,neutral,speech_rate,a2h,0.0001740023823839,0.422,none,20,0.0003463072959345,0.0007173850515899
neutral_S02,neutral,mfcc_centroid_dist,sym,-8.300013221612386e-08,0.441,none,34,1.5012276169388816e-08,7.559490810603323e-07
neutral_S02,neutral,mfcc_centroid_dist,h2a,-2.3759683568503636e-08,0.49,none,17,2.519639142554604e-08,1.098001748780949e-06
neutral_S02,neutral,mfcc_centroid_dist,a2h,-8.647652579218014e-07,0.134,none,17,8.482356935529161e-07,1.5894820594718831e-06
neutral_S02,neutral,embedding_cosine_dist,sym,1.5769627997632494e-05,0.744,none,34,-8.939744705098849e-06,3.885011744164426e-05
neutral_S02,neutral,embedding_cosine_dist,h2a,4.954840752188165e-05,0.869,none,17,-1.9386224327228492e-05,5.820505277263169e-05
neutral_S02,neutral,embedding_cosine_dist,a2h,-3.290336823317592e-05,0.284,none,17,-1.1128032598257145e-05,3.903540402556854e-05
neutral_S03,neutral,pitch_mean,sym,0.005348958893666,0.7,none,49,4.282324733509725e-05,0.0103037860397782
neutral_S03,neutral,pitch_mean,h2a,0.0110009554182478,0.758,none,24,0.0013519310598432,0.0136932666882152
neutral_S03,neutral,pitch_mean,a2h,0.0036291302021369,0.573,none,25,-0.00130561392583,0.0219064501943223
neutral_S03,neutral,pitch_max,sym,-0.0332817272680001,0.295,none,49,0.0168502370716765,0.087541758016924
neutral_S03,neutral,pitch_max,h2a,-0.0083317923146122,0.346,none,24,0.0313906232339005,0.1026389874255161
neutral_S03,neutral,pitch_max,a2h,-0.0664837158772588,0.469,none,25,-0.0586018570788605,0.0895650547904498
neutral_S03,neutral,pitch_min,sym,-0.0053258792339488,0.419,none,43,0.0005530410677946,0.0255196712444017
neutral_S03,neutral,pitch_min,h2a,-0.0320863025934761,0.179,none,20,-6.743069055473255e-05,0.0339071602658503
neutral_S03,neutral,pitch_min,a2h,-0.0002096978947885,0.819,none,23,-0.0183993111730818,0.0212844351294147
neutral_S03,neutral,pitch_std,sym,-0.0170414530599221,0.07,none,49,2.5258523425006925e-05,0.0116155858709985
neutral_S03,neutral,pitch_std,h2a,-0.0113397545309484,0.215,none,24,0.0016277388413248,0.0163817644680802
neutral_S03,neutral,pitch_std,a2h,-0.0133408182668732,0.38,none,25,-0.0086222661181006,0.015818211237273
neutral_S03,neutral,intensity_mean,sym,-0.0012739969572828,0.403,none,49,0.0001765179928213,0.0052942304122558
neutral_S03,neutral,intensity_mean,h2a,-0.0043077636527473,0.475,none,24,-0.0042209990023396,0.0070053827575067
neutral_S03,neutral,intensity_mean,a2h,0.0003065029611938,0.811,none,25,-0.0019385735020598,0.0028018314959474
neutral_S03,neutral,intensity_max,sym,0.0019792472708279,0.804,none,49,-0.0002971642040879,0.0025658998984088
neutral_S03,neutral,intensity_max,h2a,0.0009733384821882,0.865,none,24,-0.0027810128563358,0.0034796264086994
neutral_S03,neutral,intensity_max,a2h,0.0017168205884946,0.834,none,25,0.0003750831490767,0.0018345794246761
neutral_S03,neutral,intensity_min,sym,-0.0025974077155511,0.178,none,49,0.0047254219631386,0.0078091832556374
neutral_S03,neutral,intensity_min,h2a,-0.0110852016669808,0.365,none,24,-0.0069445157156412,0.0108964289997848
neutral_S03,neutral,intensity_min,a2h,0.0121417201384959,0.995,divergence,25,-0.012228557158155,0.0084270753778033
neutral_S03,neutral,intensity_std,sym,-0.0013295539762144,0.26,none,47,0.0001743694553761,0.0022934114705014
neutral_S03,neutral,intensity_std,h2a,-0.003161787611748,0.169,none,24,-4.783460291043764e-05,0.0033946612451767
neutral_S03,neutral,intensity_std,a2h,0.0007265396853024,0.979,divergence,23,-0.0026884634626901,0.0014972516942851
neutral_S03,neutral,speech_rate,sym,0.0002913019668174,0.738,none,49,-0.0001257769696123,0.0006361359544127
neutral_S03,neutral,speech_rate,h2a,-0.0016538753633817,0.123,none,24,-0.0004259372772307,0.0010629664307729
neutral_S03,neutral,speech_rate,a2h,0.001170917081779,0.942,none,25,-3.192441016728829e-05,0.000768849546772
neutral_S03,neutral,mfcc_centroid_dist,sym,5.219254365797395e-07,0.481,none,34,5.351348359554253e-07,7.596780599566429e-07
neutral_S03,neutral,mfcc_centroid_dist,h2a,1.6992136323509665e-06,0.855,none,18,5.119880991369254e-07,1.1495941468905765e-06
neutral_S03,neutral,mfcc_centroid_dist,a2h,-2.68946984098034e-07,0.393,none,16,5.4377004378732914e-08,1.2212499990493922e-06
neutral_S03,neutral,embedding_cosine_dist,sym,2.88226299059655e-05,0.598,none,39,2.191380788916571e-05,3.1299176204145526e-05
neutral_S03,neutral,embedding_cosine_dist,h2a,3.996264277650887e-05,0.59,none,19,3.197205349502426e-05,4.123159783299702e-05
neutral_S03,neutral,embedding_cosine_dist,a2h,-2.1794726766457672e-05,0.357,none,20,-1.203020972432517e-05,2.646421415444431e-05
neutral_S06,neutral,pitch_mean,sym,0.006106691969085,0.335,none,56,0.0101238800636395,0.008716351982836
neutral_S06,neutral,pitch_mean,h2a,-0.0011615398434645,0.288,none,28,0.0058085075597259,0.0121511892861417
neutral_S06,neutral,pitch_mean,a2h,0.0075326476991091,0.66,none,28,0.0026983917678251,0.0122401024100592
neutral_S06,neutral,pitch_max,sym,-0.0003758729613156,0.388,none,56,0.0159122626281353,0.0528611438838727
neutral_S06,neutral,pitch_max,h2a,0.0388964851051262,0.46,none,28,0.0459790311477842,0.0801790922321247
neutral_S06,neutral,pitch_max,a2h,-0.0823207679545055,0.024,convergence,28,0.0445279438760495,0.0669452185622431
neutral_S06,neutral,pitch_min,sym,0.0373703170604484,0.972,divergence,47,0.0014997651092243,0.0199422485329117
neutral_S06,neutral,pitch_min,h2a,0.0242118513283344,0.747,none,23,0.0055680148661166,0.0280290342560949
neutral_S06,neutral,pitch_min,a2h,0.0662350241624795,0.986,divergence,24,0.0339440102045826,0.0146489373569067
neutral_S06,neutral,pitch_std,sym,0.009370179088636,0.737,none,56,0.0033395372249016,0.0092980879364854
neutral_S06,neutral,pitch_std,h2a,0.0120353924451625,0.656,none,28,0.0067659725012028,0.0133274138668313
neutral_S06,neutral,pitch_std,a2h,0.0063876610898269,0.398,none,28,0.00963857229755,0.0129844716539165
neutral_S06,neutral,intensity_mean,sym,0.0094767954049905,0.945,none,16,0.0004716577420025,0.0056100087626396
neutral_S06,neutral,intensity_mean,a2h,0.0095620236741882,0.8659898477157361,none,10,-0.0013834741289427,0.01040127434898
neutral_S06,neutral,intensity_max,sym,4.3453804972765445e-05,0.488,none,56,5.9296584671002384e-05,0.0005924379907171
neutral_S06,neutral,intensity_max,h2a,0.0010021564613972,0.835,none,28,0.0002580191104822,0.0007905614526803
neutral_S06,neutral,intensity_max,a2h,-0.0009366107651129,0.506,none,28,-0.0009454239944279,0.000690502791854
neutral_S06,neutral,speech_rate,sym,0.0003793559467969,0.456,none,56,0.0004117051449234,0.0003250303656628
neutral_S06,neutral,speech_rate,h2a,0.0007394237295006,0.501,none,28,0.0007525063427422,0.0004620674163543
