file,scene,feature,n_windows,sync_strength,ctrl_strength,s_sync_real,s_sync_rand_mean,s_sync_rand_std,p_value,test,significant,pos_sync_ratio,neg_sync_ratio,human_follow_ratio,ai_follow_ratio,simultaneous_ratio,mean_abs_lag
neutral_S01,neutral,pitch_mean,9,0.6993010979307219,0.7668735779966741,0.1507432384429529,0.187233033478874,0.0904617105824237,0.1709876884607074,t,False,0.7777777777777778,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.0,3.888888888888889
neutral_S01,neutral,pitch_max,9,0.8037421804395058,0.7747895005962704,0.1839095961707811,0.2032474690411643,0.1180072131381067,0.2535522898513198,MW,False,0.2222222222222222,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.0,3.888888888888889
neutral_S01,neutral,pitch_min,8,0.7193118894598174,0.7433417336546498,0.1499995308705977,0.178643114472201,0.0658314542406976,0.6675049603145411,t,False,0.75,0.25,0.375,0.625,0.0,4.0
neutral_S01,neutral,pitch_std,9,0.6843534448694385,0.7539094285286674,0.2364601495255406,0.1962256254784266,0.1220754348790633,0.8847173269498041,MW,False,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.1111111111111111,3.0
neutral_S01,neutral,intensity_mean,8,0.7057489033434634,0.7535730328276355,0.162862734437064,0.2093412509906173,0.1128295058733615,0.223633896519992,t,False,0.375,0.625,0.375,0.625,0.0,3.875
neutral_S01,neutral,intensity_max,9,0.7680416779260594,0.7836875967747156,0.2454320864341847,0.1969732869636015,0.1119456970617581,0.7245361115158151,t,False,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.1111111111111111,3.0
neutral_S01,neutral,intensity_min,4,0.7179762343186965,0.7012841427673088,0.192925449206452,0.169997761772595,0.0760951594095627,0.8916271841280818,t,False,0.5,0.5,0.5,0.5,0.0,3.5
neutral_S01,neutral,intensity_std,4,0.6800419860620641,0.7283510857752677,0.1525653152358838,0.1504175497433387,0.033145873045432,0.487431084723697,t,False,0.5,0.5,0.25,0.75,0.0,4.0
neutral_S01,neutral,speech_rate,9,0.7414184626142672,0.7265971973196563,0.1733364852781352,0.1999738650779732,0.1389152480946299,0.7995589419414287,t,False,0.5555555555555556,0.4444444444444444,0.2222222222222222,0.7777777777777778,0.0,3.7777777777777777
neutral_S01,neutral,mfcc_centroid_dist,8,0.7809224048185235,0.7267086769531248,0.1591508141452909,0.1801992554373797,0.1106609316633191,0.1559130139375616,t,False,0.75,0.25,0.75,0.25,0.0,4.125
