file,scene,feature,s_sync_real,s_sync_rand_mean,s_sync_rand_std,slope,slope_rand_mean,slope_rand_std,norm_sync,norm_conv,EI_raw,EI
neutral_S01,neutral,pitch_mean,0.1507432384429529,0.187233033478874,0.0904617105824237,0.021887874769458,0.0189504756817823,0.0123312779100318,-0.4033728170845677,-0.2382071922396667,-0.3207900046621171,-0.431214043526179
neutral_S01,neutral,pitch_max,0.1839095961707811,0.2032474690411643,0.1180072131381067,0.1262849318117113,0.029960751373709,0.0719744476635753,-0.1638702614538624,-1.3383107973018855,-0.751090529377874,-1.059592320877302
neutral_S01,neutral,pitch_min,0.1499995308705977,0.178643114472201,0.0658314542406976,-0.0011487512309896,0.002567756528065,0.0374845968930439,-0.4351048284133996,0.0991475984031265,-0.1679786150051365,-0.2080598703916825
neutral_S01,neutral,pitch_std,0.2364601495255406,0.1962256254784266,0.1220754348790633,0.0122938356139754,-0.0059866044636769,0.0115983109791176,0.3295873906734243,-1.576129499421568,-0.6232710543740718,-0.8729344459702928
neutral_S01,neutral,intensity_mean,0.162862734437064,0.2093412509906173,0.1128295058733615,-0.0119200808086363,-0.0001485176889878,0.0076994095085628,-0.4119358335728264,1.52889167754448,0.5584779219858268,0.8528022040535824
neutral_S01,neutral,intensity_max,0.2454320864341847,0.1969732869636015,0.1119456970617581,-0.0022518566591789,0.0022013052473101,0.0020051942554979,0.4328777321726756,2.2208132176118056,1.3268454748922407,1.9748679500499875
neutral_S01,neutral,intensity_std,0.1525653152358838,0.1504175497433387,0.033145873045432,-0.0008883365046309,-0.0028822208779685,0.0043225575148096,0.0647973728011692,-0.4612742263130828,-0.1982384267559567,-0.2522490063298972
neutral_S01,neutral,speech_rate,0.1733364852781352,0.1999738650779732,0.1389152480946299,-9.807297477624395e-05,-0.0003372062587586,0.0005359286380176,-0.1917527425188952,-0.4462035932002254,-0.3189781678595603,-0.42856817436396
neutral_S01,neutral,mfcc_centroid_dist,0.1591508141452909,0.1801992554373797,0.1106609316633191,-9.850982226212089e-08,1.2775472940484976e-07,5.788224619841844e-07,-0.1902066156114403,0.3909049259963809,0.1003491551924703,0.1837856708463151
neutral_S01,neutral,embedding_cosine_dist,0.2038479157021311,0.2028664591892808,0.1359058358171379,-6.511202206863336e-05,-2.8602341840286145e-05,1.951457058012937e-05,0.0072215921189053,1.8708933449718352,0.9390574685453704,1.4085717328500698
neutral_S02,neutral,pitch_mean,0.2241231869122557,0.1633250985626808,0.0436187801540504,0.0176051468546298,-0.0182308940511364,0.0219500587437498,1.3938511837069163,-1.6326170842695529,-0.1193829502813181,-0.1370944442954509
neutral_S02,neutral,pitch_max,0.1572340170558053,0.2372090069867621,0.1180763836148918,0.1149379184991352,-0.0491894664243141,0.1254558790891365,-0.677315712782978,-1.308247856657532,-0.9927817847202548,-1.4125399143834885
neutral_S02,neutral,pitch_std,0.1337247278655389,0.2193402833346026,0.0878766034845895,0.0276468081549092,0.0141287070738938,0.012326667871783,-0.9742701933635576,-1.0966549291037289,-1.0354625612336432,-1.4748676859780208
neutral_S02,neutral,intensity_mean,0.1242231312367274,0.1857060239815955,0.0875467198688095,0.0021538901973585,0.001517310551787,0.0024631091175844,-0.702286651481648,-0.2584455723162607,-0.4803661118989544,-0.6642468975718947
neutral_S02,neutral,intensity_max,0.1356374306279001,0.1649034489929018,0.0603576946240185,0.0019257299192855,0.0029447958445128,0.0019322841627777,-0.4848763450510533,0.5273892654392875,0.0212564601941171,0.0682846928566803
neutral_S02,neutral,intensity_min,0.1763501609351724,0.1886837250286887,0.1353310220479703,0.0012084567422075,0.0004976392345845,0.0019280935101279,-0.0911362665179936,-0.3686633993056944,-0.229899832911844,-0.2984849245219397
